"type","date","summary","link","critical","non_critical","hall","crit_count","noncrit_count","year","month"
"Standard Inspection",2017-03-09,"3 critical & 4 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=C430D8F67F6B668F852580DE006B0750","
 3717-1-03.4(F)(1) / Time/temperature controlled for safety food - hot and cold holding.Critical    TCS foods were not being held at the proper temperature. Observed hot chicken being held at an improper temperature (128 degrees Fahrenheit) in the steam well unit in the kitchen area of the facility. Observed that the containers were not sitting level in the unit. PIC stated equipment had previously malfunctioned and was repaired.To prevent the growth of pathogens, except during preparation, cooking, or cooling, or when time is used as a public health control, TCS food shall be held at 135°F or above (except that roasts cooked using time and temperature parameters in 3717-1-03.3 may be held at 130° F), or at 41°F or less. Repair and/or replace the equipment to ensure proper hot holding temperatures of chicken can be maintained.
 3717-1-04.1(C) / Food-contact surfaces - cleanabilityCritical  Corrected During Inspection Food contact surfaces were not easily cleanable, or not designed/constructed properly. Observed an ice scoop and multiple plastic containers with cracks at the time of inspection.To prevent the growth of pathogens, Multiuse food-contact surfaces shall be: (1) Smooth; (2) Free of breaks, open seams, cracks, chips, inclusions, pits, and similar imperfections; (3) Free of sharp internal angles, corners, and crevices; (4) Finished to have smooth welds and joints; and (5) Except for cooking oil storage tanks, distribution lines for cooking oils, or beverage syrup lines or tubes; accessible for cleaning and inspection by one of the following methods: (a) Without being disassembled; (b) By disassembling without the use of tools; or (c) by easy disassembling with the use of handheld tools commonly available to maintenance and cleaning personnel such as screwdrivers, pliers, open-end wrenches, and Allen wrenches. PIC discarded the cracked equipment at the time of inspection.
 3717-1-04.4(N)(1) / Manual and mechanical warewashing equipment, using chemical sanitization (chlorine) - temp., pH, concentration, and hardnessCritical    The concentration and/or temperature of a chlorine sanitizing solution did not meet the minimum requirements specified in the code. Observed the CMA mechanical warewashing unit to not effectively sanitize equipment and utensils at the time of inspection. Unit is hooked up to a container of Avance Chlorine Sanitizer, but multiple tests using test strips did not register the presence of chlorine. Facility does not have chlorine test strips to measure the ability for this equipment to effectively sanitize equipment.To prevent pathogen growth, a chlorine solution shall have a minimum temperature based on the concentration and pH of the solution as specified in the code. Contact State Chemical to service the equipment. Regularly test the machine to ensure equipment and utensils are effectively sanitized.
","
3717-1-03.2(M) / Wiping cloths - use limitation.  Corrected During Inspection Observed improper use and/or maintenance of wiping cloths. Observed a wiping cloth stored on the cutting board near the steam well. Cloth was not stored in a chemical sanitizer in between uses, and was not being held in a chemical sanitizer.(1) Cloths that are in use for wiping food spills from tableware and carry-out container that occur as food is being served shall be maintained dry and used for no other purpose; (2) Cloths that are in use for wiping counters and other equipment surfaces shall be: (a) held between uses in a chemical sanitizer of the appropriate concentration; and (b) shall be laundered daily; (3) Cloths that are used with raw animal foods shall be kept separate from cloths used for other purposes; (4) Dry wiping cloths and the chemical sanitizing solution in which wet wiping cloths are held between uses shall be free of food debris and visible soil; (5) Containers of chemical sanitizing solutions specified in paragraph (M)(2)(a) of this rule in which wet wiping cloths are held between uses shall be stored off the floor and used in a manner that prevents contamination of food, equipment, utensils, linens, single-service articles, or single-use articles; (6) Single-use disposable sanitizer wipes shall be used in accordance with EPA-approved manufacturer's label use instructions. Discussed wiping cloths with the PIC at the time of inspection. PIC placed new wiping cloth in a bucket of Avance Sani Quat (250ppm) at the time of inspection.
 3717-1-04.2(I) / Sanitizing solutions - testing devices.    There is no test kit available for measuring the concentration of the sanitizer. Facility has a mechanical warewashing unit that chemically sanitizes equipment and utensils with bleach, but no test strips are available.To ensure proper sanitization, a test kit or other device that accurately measures the concentration in PPM (mg/L) of sanitizing solutions shall be provided. Purchase chlorine test strips.
 3717-1-04.5(A)(3) / Cleanliness of nonfood-contact surfaces of equipment.    Non-food contact surfaces of equipment are dirty. Observed the rack that is holding clean dishes in the dishwashing room to be dirty at the time of inspection.Nonfood-contact surfaces of equipment shall be kept clean. Clean the dishwashing room.
 3717-1-04.8(G) / Kitchenware and tableware - handling.    Single-service or single-use articles, kitchenware, or tableware were not handled, displayed, or dispensed properly. Observed plastic forks for carryout orders to be stored with the tines facing up.Single-service articles or single-use articles and cleaned and sanitized utensils shall be handled, displayed, and dispensed so that contamination of food-contact-and lip-contact surfaces is prevented as described in this rule. Arrange the plastic forks to prevent contamination of the food contact surface of the utensil.
","Aladdin's Eatery",3,4,2017,"March"
"Critical Control Point Inspection",2017-03-09,"6 observations","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=A55A1B07609B4197852580DE006D3180",NA,NA,"Aladdin's Eatery",NA,NA,2017,"March"
"Follow-up Inspection",2016-09-22,"0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=A4417FB6FE8433308525803600615EAE","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Aladdin's Eatery",0,0,2016,"September"
"Follow-up Inspection",2016-09-01,"1 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=BF102CA654B9E1D285258021004F8A5F","
 3717-1-03.4(D) / Cooling - temperature and time control.Critical Repeat   TCS foods were not cooled using the proper time and temperature parameters.
-Observed lentil soup in a deep container at 54°F in the walk-in cooler. The container did not have a date indicating when it was made. To prevent the growth of pathogens, cooked TCS food shall be rapidly cooled: within two hours from 135°F to 70°F, and within a total of six hours from 135°F to 41°F or less; (2) TCS food shall be cooled within 4 hours to 41°F or less if prepared from ingredients at ambient temperature.
-During inspection, the chef stated he did not make the soup today, and that it was made yesterday. Food was voluntarily discarded.
","
3717-1-03.2(Q) / Food storage - preventing contamination from the premises.  Repeat   Observed improper storage of food items.
-Observed buckets of food on the walk-in cooler floor.
-Observed bags of onions and carrots stored on the walk-in cooler floor. Food shall be protected from contamination by storing the food in a clean, dry location, where it is not exposed to splash, dust, or other contamination, and at least six inches above the floor. Correct By: 31-Aug-2016
","Aladdin's Eatery",1,1,2016,"August"
"Critical Control Point Inspection",2016-08-31,"3 observations","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=3565AAE9F5797D8C85258020006DEE97",NA,NA,"Aladdin's Eatery",NA,NA,2016,"August"
"Standard Inspection",2016-08-31,"2 critical & 2 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=65C205CCBE27C1B485258020006CBD4D","
 3717-1-03.4(D) / Cooling - temperature and time control.Critical    TCS foods were not cooled using the proper time and temperature parameters.
-Observed lentil soup in a deep container at 54°F in the walk-in cooler. The container did not have a date indicating when it was made. To prevent the growth of pathogens, cooked TCS food shall be rapidly cooled: within two hours from 135°F to 70°F, and within a total of six hours from 135°F to 41°F or less; (2) TCS food shall be cooled within 4 hours to 41°F or less if prepared from ingredients at ambient temperature.
-During inspection, the chef stated he did not make the soup today, and that it was made yesterday. Food was voluntarily discarded.
 3717-1-03.4(F)(1) / Time/temperature controlled for safety food - hot and cold holding.Critical    TCS foods were not being held at the proper temperature.To prevent the growth of pathogens, except during preparation, cooking, or cooling, or when time is used as a public health control, TCS food shall be held at 135°F or above, or at 41°F or less. Correct By: 31-Aug-2016
","
3717-1-03.2(Q) / Food storage - preventing contamination from the premises.    Observed improper storage of food items.
-Observed buckets of food on the walk-in cooler floor.
-Observed bags of onions and carrots stored on the walk-in cooler floor. Food shall be protected from contamination by storing the food in a clean, dry location, where it is not exposed to splash, dust, or other contamination, and at least six inches above the floor. Correct By: 31-Aug-2016
 3717-1-04.4(A)(1) / Equipment - good repair and proper adjustment.    Equipment and/or components are not maintained in good working order.
-Walk-in cooler, two of the prep coolers, and steam table are not able to maintain food at proper temperatures. Equipment shall be maintained in a state of repair and condition that meets the requirements specified under rules 3717-1-04 and 3717-1-04.1 of this code.
-Repair or replace equipment so that it can maintain food at correct temperatures. 
-Discontinue using equipment that cannot maintain correct temperatures until repaired or replaced.
","Aladdin's Eatery",2,2,2016,"August"
"Follow-up Inspection",2016-05-09,"1 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=6A528F73D72F7A7485257FAE0068F82F","
3717-1-03.4(G) / Ready-to-eat, time/temperature controlled for safety food - date marking.Critical Repeat   Refrigerated, ready-to-eat, TCS foods held refrigerated for more than 24 hours were not properly date marked.
-Observed large containers of tahini, chili, etc without date marks. To prevent foodborne illness, refrigerated, ready-to-eat, TCS food held at a temperature of 41°F or less for more than 24 hours shall be clearly marked at the time of preparation or the time the original container is opened to indicate the date or day, that is a maximum of seven days, by which the food shall be consumed, sold, or discarded. The day the food is prepared or opened is day one.
","

","Aladdin's Eatery",1,0,2016,"May"
"Critical Control Point Inspection",2016-03-22,"7 observations","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=1EA09EA0CA77BE2585257F7E006BEB92",NA,NA,"Aladdin's Eatery",NA,NA,2016,"March"
"Standard Inspection",2016-03-22,"4 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=52E68DC2B081423585257F7E006A37CF","
3717-1-02.4(C)(13) / Person in charge: duties - ensure employees are properly trained in food safety, including food allergy awareness.Critical    Person in charge did not ensure their employees are properly trained in food safety.
-Cook did not know correct cooking temperature for chicken.
-Observed cook use the food thermometer incorrectly, with the end of the thermometer going through food and into the grill, giving a reading that was inaccurate and too high. To prevent foodborne illness, the person in charge shall ensure that employees are properly trained in food safety, including food allergy awareness, as it relates to their assigned duties.
-Proper cooking temperature and thermometer use was reviewed with the cook.
 3717-1-03.2(C) / Packaged and unpackaged food - preventing contamination by separation, packaging, and segregationCritical    Observed food that was not properly protected from contamination by separation, packaging, and segregation.
-Observed cook using the same tongs to handle raw beef and cooked chicken at the grill. To prevent contamination, food shall be protected from cross contamination by separating raw animal foods during storage, preparation, holding, and display from cooked ready-to-eat food as described in this rule.
-Additional tongs were provided during inspection.
-Provide tongs for handling raw chicken, raw beef, and cooked items.
 3717-1-03.2(N)(1) / Gloves - single use glovesCritical    Observed single-use gloves being used improperly.
-Cook did not change gloves when changing tasks in the kitchen, i.e. between sweeping and handling plates. Gloves were also not changed when damaged. To prevent contamination: If used, single-use gloves shall be used for only one task, used for no other purpose, and discarded when damaged or soiled or when interruptions occur in the operation.
-Change gloves when changing tasks or when gloves become damaged.
 3717-1-03.4(G) / Ready-to-eat, time/temperature controlled for safety food - date marking.Critical    Refrigerated, ready-to-eat, TCS foods held refrigerated for more than 24 hours were not properly date marked.
-Observed large containers of tahini, chili, etc without date marks. To prevent foodborne illness, refrigerated, ready-to-eat, TCS food held at a temperature of 41°F or less for more than 24 hours shall be clearly marked at the time of preparation or the time the original container is opened to indicate the date or day, that is a maximum of seven days, by which the food shall be consumed, sold, or discarded. The day the food is prepared or opened is day one.
","
 3717-1-04.4(B) / Cutting surfaces.    The surfaces of cutting blocks or boards were severely scratched or scored and could not be effectively cleaned and sanitized.Surfaces such as cutting blocks and boards that are subject to scratching and scoring shall be resurfaced if they can no longer be effectively cleaned and sanitized, or discarded if they are not capable of being resurfaced.
","Aladdin's Eatery",4,1,2016,"March"
"Standard Inspection",2015-08-04,"1 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=ACBEF2CFDB6C0C9C85257E9700539024","
3717-1-03.2(C) / Packaged and unpackaged food - preventing contamination by separation, packaging, and segregationCritical  Corrected During Inspection Observed food that was not properly protected from contamination by separation, packaging, and segregation.
-Observed a pan of raw chicken above raw beef and raw fish. Observed raw eggs stored above beverages. To prevent contamination, food shall be protected from cross contamination by separating raw animal foods during storage, preparation, holding, and display from cooked ready-to-eat food as described in this rule.
-Corrected; food was rearranged to comply. 
","

","Aladdin's Eatery",1,0,2015,"August"
"Critical Control Point Inspection",2015-08-04,"8 observations","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=38CC8723BF4983D485257E9700547EBF",NA,NA,"Aladdin's Eatery",NA,NA,2015,"August"
"Follow-up Inspection",2015-05-15,"1 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=98768BC17896967C85257E460063B991","
3717-1-03.4(D) / Cooling - temperature and time control.Critical  Corrected During Inspection TCS foods were not cooled using the proper time and temperature parameters.
-Observed chick peas in 6"" covered pans in the walk-in cooler at 46.8F and 44F. Per employees, food was cooked the previous day. To prevent the growth of pathogens, cooked TCS food shall be rapidly cooled within two hours from 135°F to 70°F, and within a total of six hours from 135°F to 41°F or less.
-During inspection, food was voluntarily discarded. 
-Discussed providing shallow pans, using ice, and stirring food frequently while cooling to ensure food reaches 41F or below in the specified amount of time. 
","

","Aladdin's Eatery",1,0,2015,"May"
