"type","date","summary","link","critical","non_critical","hall"
"Standard Inspection","5-Dec-2017","3 critical & 3 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=E34A38319B3478C3852581ED0069103F","
3717-1-04.1(C) / Food-contact surfaces - cleanabilityCritical Repeat   Food contact surfaces were not easily cleanable, or not designed/constructed properly. Observed several food grade plastic containers with large cracks that made the equipment not smooth and not easily cleanable. To prevent the growth of pathogens, Multiuse food-contact surfaces shall be: (1) Smooth; (2) Free of breaks, open seams, cracks, chips, inclusions, pits, and similar imperfections; (3) Free of sharp internal angles, corners, and crevices; (4) Finished to have smooth welds and joints; and (5) Except for cooking oil storage tanks, distribution lines for cooking oils, or beverage syrup lines or tubes; accessible for cleaning and inspection by one of the following methods: (a) Without being disassembled; (b) By disassembling without the use of tools; or (c) by easy disassembling with the use of handheld tools commonly available to maintenance and cleaning personnel such as screwdrivers, pliers, open-end wrenches, and Allen wrenches.Inventory all equipment and discard containers and utensils that have cracks.
 3717-1-04.5(A)(1) / Cleanliness of equipment food-contact surfaces and utensils.Critical    Equipment food-contact surfaces or utensils are dirty. Observed the piping holding the multi-flow dispenser to contain build up at the time of inspection.To prevent contamination, equipment food-contact surfaces and utensils shall be clean to sight and touch. Remove clamps from plumbing fixture and wash, rinse, and sanitize as necessary to prevent contamination.
 3717-1-04.5(A)(1) / Cleanliness of equipment food-contact surfaces and utensils.Critical  Corrected During Inspection Equipment food-contact surfaces or utensils are dirty. Observed build-up in the plastic food container holding the ice scoop in the basement food preparation area. To prevent contamination, equipment food-contact surfaces and utensils shall be clean to sight and touch. PIC removed the container and scoop to be washed, rinsed, and sanitized at the time of inspection.
","
 3717-1-04.5(A)(3) / Cleanliness of nonfood-contact surfaces of equipment.    Non-food contact surfaces of equipment are dirty. Observed the bottom and walls of the work-top two door cooler in the basement food preparation area to contain build-up. Observed build-up on the hoods above the fryer in the kitchen.Nonfood-contact surfaces of equipment shall be kept clean. Clean and sanitize the shelves, bottom, and walls of this cooler. Clean and degrease the hoods to prevent the accumulation of dust and grease.
 3717-1-04.8(E) / Equipment, utensils, linens, single-service articles, and single-use articles - storage.    Cleaned equipment and utensils, laundered linens, or single-service and single-use articles are not properly stored. Observed clean equipment and utensils stored directly below a wall-mounted A/C unit with dust build-up in the air filter and on top of the unit.Cleaned equipment and utensils, laundered linens, single-service articles, and single-use articles shall be properly stored as described in this rule. Remove air filters from the A/C and thoroughly clean. Clean the top of the A/C unit. Monitor wall-mounted A/C and clean as necessary to prevent dust contamination below.
 3717-1-05.1(S)(1) / Plumbing system - maintained in good repair.    The plumbing system was not properly repaired. Observed the handwashing sink near the dish machine to be leaking into a five gallon bucket at the time of inspection.A plumbing system shall be repaired according to the Ohio building code. Repair the plumbing connection to the basin and/or the fixture to prevent leaking.
","The Feve"
"Critical Control Point Inspection","5-Dec-2017","5 observations","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=D00FC1FBBB046D55852581ED006A85BA","","","The Feve"
"Standard Inspection","1-May-2017","2 critical & 2 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=B1D20B7F1B0BE6F9852581130060709F","
3717-1-04.1(C) / Food-contact surfaces - cleanabilityCritical  Corrected During Inspection Food contact surfaces were not easily cleanable, or not designed/constructed properly. Observed a cracked plastic ice scoop at the time of inspection that was not smooth and easily cleanable.To prevent the growth of pathogens, Multiuse food-contact surfaces shall be: (1) Smooth; (2) Free of breaks, open seams, cracks, chips, inclusions, pits, and similar imperfections; (3) Free of sharp internal angles, corners, and crevices; (4) Finished to have smooth welds and joints; and (5) Except for cooking oil storage tanks, distribution lines for cooking oils, or beverage syrup lines or tubes; accessible for cleaning and inspection by one of the following methods: (a) Without being disassembled; (b) By disassembling without the use of tools; or (c) by easy disassembling with the use of handheld tools commonly available to maintenance and cleaning personnel such as screwdrivers, pliers, open-end wrenches, and Allen wrenches. PIC discarded the ice scoop at the time of inspection.
 3717-1-07(B) / Poisonous or toxic materials: Working containers - common name.Critical  Corrected During Inspection Observed a spray bottle of water in the food preparation area in the basement. Bottle was not properly labeled, but food employee knew what the bottle contained. Discussed and provided education on labeling working containers of spray bottles (chemical or non-chemical) to avoid misuse by employees (sanitizing surfaces with water, spraying diluted bleach water on food, etc.)To prevent health hazards, working containers used for poisonous or toxic materials such as cleaners and sanitizers taken from bulk supplies shall be clearly and individually identified with the common name of the material. PIC labeled the bottle at the time of inspection.
","
 3717-1-04.4(A)(1) / Equipment - good repair and proper adjustment.    Equipment and/or components are not maintained in good working order. Observed the freezer in the kitchen to be running at higher ambient temperatures than manufacturer recommendations specify. Observed an ambient temperature of the freezer at 12 degrees Fahrenheit. PIC stated the freezer is being replaced with a commercial, NSF approved freezer as verified by the licensor through a Webstaurant online order confirmation and shipment tracking. Shipment was ""In Transit"" at the time of inspection. Food employees stated food is transferred to freezers in the basement in the evening to prevent thawing and re-freezing. Inspected the basement area to find adequate freezer capacity to keep frozen foods frozen. Did not observe any frozen foods exhibiting signs of thawing at the time of inspection.Equipment shall be maintained in a state of repair and condition that meets the requirements specified under rules 3717-1-04 and 3717-1-04.1 of this code. Repair and or replace the equipment.
 3717-1-04.5(A)(3) / Cleanliness of nonfood-contact surfaces of equipment.    Non-food contact surfaces of equipment are dirty. Observed the shelving units in the walk-in cooler in the basement to be dirty. Observed the fans of the walk-in cooler to be dirty and contain dust build-up at the time of inspection.Nonfood-contact surfaces of equipment shall be kept clean. Clean the shelving units in the walk-in cooler. Clean the fans in the walk-in cooler to prevent contamination of food.
","The Feve"
"Critical Control Point Inspection","1-May-2017","10 observations","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=2AA0E12261E4A4F4852581130062135B","","","The Feve"
"Other Inspection","1-May-2017","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=2A54C594F8242EEE852581130058A7B5","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","The Feve"
"Critical Control Point Inspection","6-Dec-2016","5 observations","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=5D41DB48FAC179018525808100749D15","","","The Feve"
"Standard Inspection","6-Dec-2016","2 critical & 4 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=4F121ED7279709D38525808100738BC8","
3717-1-03.2(C) / Packaged and unpackaged food - preventing contamination by separation, packaging, and segregationCritical    Observed food that was not properly protected from contamination by separation, packaging, and segregation.
-Observed raw eggs stored above potatoes and beer in the walk-in cooler. To prevent contamination, food shall be protected from cross contamination by separating raw animal foods during storage, preparation, holding, and display from cooked ready-to-eat food as described in this rule.
-Rearrange food so that raw is stored below or away from ready-to-eat product. Correct By: 06-Dec-2016
 3717-1-03.4(F)(1) / Time/temperature controlled for safety food - hot and cold holding.Critical    TCS foods were not being held at the proper temperature.
-Observed food in the prep cooler holding between 42°F and 50°F. To prevent the growth of pathogens, except during preparation, cooking, or cooling, or when time is used as a public health control, TCS food shall be held at 135°F or above, or at 41°F or less.
-During inspection, food that was above 41°F for longer than 4 hours was voluntarily discarded. Repair refrigeration as necessary to maintain food at 41°F or less. Correct By: 06-Dec-2016
","
 3717-1-03.2(Q) / Food storage - preventing contamination from the premises.    Observed improper storage of food items.
-Observed boxes of food product stored directly on the floor in the walk-in cooler, dry storage, and outside walk-in freezer. Food shall be protected from contamination by storing the food in a clean, dry location, where it is not exposed to splash, dust, or other contamination, and at least six inches above the floor.
-Store food off the floor to prevent possible contamination. Provide additional shelving if necessary to store food off the floor. Correct By: 06-Dec-2016
 3717-1-04.1(Y) / Temperature measuring devices.    Cold or hot holding equipment did not contain a thermometer, or the thermometer was not correctly placed.
-Observed refrigerators without thermometers inside. A properly designed temperature measuring device as specified in this rule shall be located in the warmest part of a cooling unit or the coolest part of a food warming unit.
-Provide thermometers to monitor internal temperatures of refrigerators.
 3717-1-04.8(A) / Equipment and utensils - air-drying required.    Equipment and utensils are not being air dried.
-Observed wet containers stacked in the basement. 
-Observed wet glasses stacked in the upstairs bar. After cleaning and sanitizing, equipment and utensils shall be air-dried or used after adequate draining before contact with food and utensils, and may not be cloth dried.
-Air dry equipment and utensils prior to putting away. Discontinue stacking or putting away wet equipment or utensils. Correct By: 06-Dec-2016
 3717-1-06.4(B) / Cleaning - frequency and restrictions.    Observed a build-up of dirt and debris.
-Observed buildup on fan guards in the walk-in coolers. The physical facilities shall be cleaned as often as necessary to keep them clean, and cleaning shall be done during periods when the least amount of food is exposed.
-Clean fans guards in the walk-in coolers to remove buildup.
","The Feve"
"Standard Inspection","20-Jun-2016","2 critical & 2 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=1EBAD14ED7EDA3E485257FD8006A865D","
 3717-1-03.4(D) / Cooling - temperature and time control.Critical    TCS foods were not cooled using the proper time and temperature parameters.
-Observed chicken in a deep container holding at 48°F in the reach-in cooler; food was prepared Saturday.
-Observed hummus in a deep container holding at 47°F in the reach-in cooler; food was prepared Saturday. 
-Observed chicken breast at 45°F and chicken wings at 46°F in deep containers in the walk-in cooler in the basement; food was prepared earlier in the day. To prevent the growth of pathogens, cooked TCS food shall be rapidly cooled: within two hours from 135°F to 70°F, and within a total of six hours from 135°F to 41°F or less.
-During inspection, food items prepared Saturday were voluntarily discarded. Food items made earlier in the day prior to inspection were spread out on sheet trays to facilitate rapid cooling. 
-Discussed cooling times and temperature control.
 3717-1-06.4(K) / Controlling pests.Critical    Observed the presence of live insects.
-Observed small flies in the beverage nozzles and nozzle holders in the upstairs bar.
-Observed small flies in the main floor bar area. To prevent illness, the presence of insects, rodents, and other pests shall be controlled by: Routinely inspecting incoming shipments of food and supplies; routinely inspecting the premises for evidence of pests; Using methods, if pests are found, such as trapping devices or pesticides used according section (C), (K) and (L) of rule 3717-1-07.1 of this code; and eliminating harborage conditions.
-Contact a licensed pest controller for service.
-Clean where necessary to remove buildup and any harborage conditions.
","
3717-1-03.2(K) / In-use utensils - between-use storage. Repeat   In-use utensils are improperly stored.
-Observed drink shakers stored in the ice bins in the upstairs bar area.
-Observed ice scoops stored in the hand sink in the upstairs bar area. During pauses in food preparation or dispensing, food preparation and dispensing utensils shall be stored as described in this rule.
-Discontinue storing shakers directly in ice intended for consumption.
-Discontinue storing ice scoops in the hand sink. 
-Wash, rinse, sanitize, and air dry items, then store in a clean location.
 3717-1-04.4(B) / Cutting surfaces.    The surfaces of cutting blocks or boards were severely scratched or scored and could not be effectively cleaned and sanitized.Surfaces such as cutting blocks and boards that are subject to scratching and scoring shall be resurfaced if they can no longer be effectively cleaned and sanitized, or discarded if they are not capable of being resurfaced.
","The Feve"
"Critical Control Point Inspection","20-Jun-2016","8 observations","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=42AE173A1ED96C8685257FD8006BB258","","","The Feve"
"Critical Control Point Inspection","18-Nov-2015","8 observations","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=8FDB5A30A649E81785257F010075BFCD","","","The Feve"
"Standard Inspection","18-Nov-2015","1 critical & 2 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=C7D3974295CFAD0485257F01007547BF","
3717-1-03.4(F)(1) / Time/temperature controlled for safety food - hot and cold holding.Critical    TCS foods were not being held at the proper temperature.
-Observed food in the burger cooler holding above 41F. To prevent the growth of pathogens, except during preparation, cooking, or cooling, or when time is used as a public health control, TCS food shall be held at 135°F or above, or at 41°F or less.
-During inspection, food that was in the cooler less than 4 hours was moved to a different refrigerator. Cook stated a service call would be made.
","
 3717-1-04.1(A) / Equipment and utensils - durability and strength.    Non-durable equipment observed.
-Observed non-food funnels in use; one funnel was cracked. Equipment and utensils shall be designed and constructed to be durable and to retain their characteristic qualities under normal use conditions.
-Provide food-grade funnels for use with food. Cracked funnel was discarded during inspection.
 3717-1-04.4(S)(1) / Single-service articles and single-use articles - use limitation.    Observed re-use of single-service or single-use articles.
-Observed plastic dressing containers re-used to hold dressings mixed in-house. Single-service and single-use articles may not be reused.
-Discontinue re-using dressing containers. Provide addtional containers that are designed to be cleaned and sanitized.
","The Feve"
"Critical Control Point Inspection","17-Jun-2015","8 observations","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=05A6D6F62AC363B985257E6700679926","","","The Feve"
