"type","date","summary","link","critical","non_critical","hall"
"Standard/Critical Control Point Inspection","4-May-2021","1 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=8A4870FDCF4C4C4B852586CB0057E7E7","
3717-1-03.2(N)(1) / Gloves - use limitationCritical  Corrected During Inspection Observed employees touch/wipe foreheads/clothes with gloved hands-employees did not change gloves until told to. Ensure that gloves are changed any time they are contaminated. Discussed with employees during inspection- employees then changed gloves and washed hands. 
","
 3717-1-03.2(Y) / Miscellaneous sources of contamination.  Corrected During Inspection Food not protected from contamination. Observed employee drinks next to foods/equipment. Ensure that employee drinks/ items are kept away from food prep or clean dish areas.  
","Wilder Hall"
"Standard/Critical Control Point Inspection","12-Aug-2020","0 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=83ED9E3570013E46852585C20051E581","

","
3717-1-04.4(A)(2) / Equipment components kept intact, tight, and adjusted    Repair/ adjust Express cooler in Day Cafe, standing cooler in kitchen to maintain 41 degrees F or below. Coolers did not have foods during inspection. Do not use for TCS food until properly functioning at 41 degrees F or below.  
","Wilder Hall"
"Standard/Critical Control Point Inspection","27-Sep-2019","1 critical & 2 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=E02DFF56899B9A3185258488004B05CC","
3717-1-03.2(C) / Packaged and unpackaged food - preventing contamination by separation, packaging, and segregationCritical  Corrected During Inspection Food not properly protected from contamination by separation, packaging, and segregation.CCP
-Observed raw animal foods (eggs) stored above ready-to-eat foods in the retail reach-in cooler. 
","
 3717-1-03.4(E) / Cooling methods - temperature and time control.  Corrected During Inspection Improper method for cooling TCS foods.CCP
-Observed chicken cooled in bulk portions, covered and in deep container. 
 3717-1-03.5(C)(3) / Food labels - bulk food    Bulk food for customer self-service not properly labeled.
-Observed bulk food items including chopped bread, donuts, cookies without labels available. 
","Wilder Hall"
"Standard/Critical Control Point Inspection","28-Mar-2019","1 critical & 2 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=B8C6D1D677812A56852583CB0059EA73","
 3717-1-04.4(N)(3) / Manual and mechanical warewashing equipment, chemical sanitization (quaternary ammonium) - temp., pH, concentration, and hardnessCritical  Corrected During Inspection Quaternary ammonium sanitizing solution at incorrect temperature, concentration, and/or water hardness.
-Observed 3 compartment sink filled with hot water instead of sanitizing solution. 
","
3717-1-03 / Food - safe, unadulterated, and honestly presented  Corrected During Inspection Food was unsafe, adulterated, or not honestly presented.
-Observed tray of cooked chicken contaminated by leaking condensate in the walk-in freezer.
Note: chicken voluntarily discarded at time of inspection. 
 3717-1-04.1(Y) / Temperature measuring devices.  Corrected During Inspection Hot and cold holding equipment thermometer was missing, located incorrectly, or not easily readable.
-Observed no thermometer in reach-in cooler at smoothie station.  Observed no thermometer in hot holding unit and pizza/sandwich station. 
","Wilder Hall"
"Follow-up Inspection","4-Oct-2018","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=670A905FCA4B25E08525831C0066E5C3","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Wilder Hall"
"Standard/Critical Control Point Inspection","13-Sep-2018","2 critical & 4 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=8B7C64BEDAF300B885258307006BB68B","
 3717-1-03.4(F)(1)(a) / Time/temperature controlled for safety food - hot holding.Critical  Corrected During Inspection TCS foods not being hot held at the proper temperature.CCP
-Maintain hot holding of tofu steak wraps at 135*F or above 
 3717-1-03.4(F)(1)(b) / Time/temperature controlled for safety food - cold holding.Critical  Corrected During Inspection TCS foods not being cold held at the proper temperature.CCP
-Maintain cold holding of milk at 41*F or below. 
","
3717-1-06.2(B) / Handwashing cleanser - availability.    No soap at handwashing sink(s). 
 3717-1-03.5(C)(2) / Food labels - packaged food    Label on a food packaged in-house did not contain all required information.
-Provide complete labels including subingredients for grab an go items. 
 3717-1-04.4(A)(1) / Equipment - good repair and proper adjustment.    Equipment and/or components not maintained.
-Repair walk-in cooler, walk-in freezer, and pizza prep. cooler to prevent condensate from leaking, do not store food under leaking condensate. 
 3717-1-06.1(I) / Light bulbs - protective shielding.    No protective shielding on lights.
-Provide light shields in dish room equipment/utensil storage area.  
","Wilder Hall"
"Standard Inspection","8-Mar-2018","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=F165AFA307BA03888525824A0073E1BE","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Wilder Hall"
"Critical Control Point Inspection","8-Mar-2018","6 observations","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=282BA84105657BA68525824A007476C5","","","Wilder Hall"
"Standard Inspection","21-Sep-2017","0 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=8E2BD49F81CC64A9852581A20055E335","

","
3717-1-04.4(A)(1) / Equipment - good repair and proper adjustment.    Equipment and/or components are not maintained in good working order. Observed the blast chiller and a two door cooler to be out of operation at the time of inspection.Equipment shall be maintained in a state of repair and condition that meets the requirements specified under rules 3717-1-04 and 3717-1-04.1 of this code. Facility has submitted a work order request to have equipment fixed. Adequate cold holding storage exists without the operation of the two door cooler.
","Wilder Hall"
"Critical Control Point Inspection","21-Sep-2017","5 observations","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=F026DFC6EA8502A3852581A200564832","","","Wilder Hall"
"Standard Inspection","30-Mar-2017","1 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=F506BD17BF6890B1852580F300680BCC","
3717-1-04.1(C) / Food-contact surfaces - cleanabilityCritical    Food contact surfaces were not easily cleanable, or not designed/constructed properly. Observed plastic food containers that were cracked in the clean equipment storage area.To prevent the growth of pathogens, Multiuse food-contact surfaces shall be: (1) Smooth; (2) Free of breaks, open seams, cracks, chips, inclusions, pits, and similar imperfections; (3) Free of sharp internal angles, corners, and crevices; (4) Finished to have smooth welds and joints; and (5) Except for cooking oil storage tanks, distribution lines for cooking oils, or beverage syrup lines or tubes; accessible for cleaning and inspection by one of the following methods: (a) Without being disassembled; (b) By disassembling without the use of tools; or (c) by easy disassembling with the use of handheld tools commonly available to maintenance and cleaning personnel such as screwdrivers, pliers, open-end wrenches, and Allen wrenches. Discard equipment that is cracked to ensure equipment foo contact surfaces are smooth and easily cleanable.
","
 3717-1-04.4(Q) / Utensils, temperature and pressure measuring devices - good repair and calibration.    Utensils, thermometers, and/or pressure guages were not kept in good repair or calibration. Observed two metal stem probe thermometers that were not calibrated. Discussed calibration schedule with PIC who stated the digital probe thermometer is primarily used an calibration occurs every Monday.(1) Utensils shall be maintained in a state of good repair or shall be discarded; (2) Food temperature measuring devices shall be calibrated as necessary to esnure their accuracy; (3) Ambient air temperature, water pressure, and water temperature measuring devices shall be maintained in good repair and be accurate within the intended range of use. Calibrate thermometers.
","Wilder Hall"
"Critical Control Point Inspection","30-Mar-2017","7 observations","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=69F6FBA4FE88155E852580F30068ECBF","","","Wilder Hall"
"Standard Inspection","15-Sep-2016","2 critical & 3 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=E1AADA4B1CF69A2D8525802F005E5FB1","
3717-1-03.2(N)(1) / Gloves - single use glovesCritical    Observed single-use gloves being used improperly.
-Observed food employee wipe off gloved hands with a cloth towel. To prevent contamination: If used, single-use gloves shall be used for only one task, used for no other purpose, and discarded when damaged or soiled or when interruptions occur in the operation.
-Ensure employees are informed on when to remove gloves. 
-Discontinue wiping off gloves with cloth towels to prevent possible contamination of gloves or food. Correct By: 15-Sep-2016
 3717-1-03.4(F)(1) / Time/temperature controlled for safety food - hot and cold holding.Critical  Corrected During Inspection TCS foods were not being held at the proper temperature.
-Observed soup holding at 132°F in the soup well. To prevent the growth of pathogens, except during preparation, cooking, or cooling, or when time is used as a public health control, TCS food shall be held at 135°F or above, or at 41°F or less.
-Corrected; soup was reheated above 165°F in less than 2 hours.
","
 3717-1-03.5(C)(3) / Food labels - bulk food    Bulk food display for customer self-service was not properly labeled.Bulk food that is available for consumer self-dispensing shall be prominently labeled with the information specified under (C)(2) of this rule.
Food label information shall include: (a) The common name of the food, or an adequately descriptive identity statement; (b) If made from two or more ingredients, a list of ingredients in descending order of predominance by weight, including a declaration of artificial color or flavor and chemical preservatives, if contained in the food; (c) An accurate declaration of the quantity of contents; (d) The name and place of business of the manufacturer, packer, or distributor; (e) The name of the food source for each major food allergen contained in the food, unless listed in the ingredients; (f) Nutritional information when required by law
 3717-1-05.1(C)(1) / Handwashing sink - required water temperature Repeat   Observed a handwashing sink without water at the required temperature.
-Observed mens restroom with hot water at the hand sink at 75°F. To ensure proper cleaning of hands, a handwashing sink shall be equipped to provide water at a temperature of at least 100°F (thirty-eight degrees Celsius) through a mixing valve or combination faucet.
 3717-1-05.1(I) / Service sink - number. Repeat   Observed no service sink or curbed cleaning facility as required.
-Mop sink is in disrepair and faucets are not connected to a hose bibb. At least one service sink or one curbed cleaning facility equipped with a floor drain shall be provided and conveniently located as specified in this rule.
-Replace mop sink and install an approved faucet.
","Wilder Hall"
"Critical Control Point Inspection","15-Sep-2016","8 observations","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=22DF465F76D5CA948525802F005F3694","","","Wilder Hall"
"Standard Inspection","30-Mar-2016","3 critical & 5 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=55F9F3B979AC16F685257F86005DC263","
 3717-1-02.4(C)(13) / Person in charge: duties - ensure employees are properly trained in food safety, including food allergy awareness.Critical    Person in charge did not ensure their employees are properly trained in food safety.To prevent foodborne illness, the person in charge shall ensure that employees are properly trained in food safety, including food allergy awareness, as it relates to their assigned duties.
 3717-1-03.4(D) / Cooling - temperature and time control.Critical    TCS foods were not cooled using the proper time and temperature parameters.
-Cooling time and temperatures were not able to be verified due to incomplete records or employees not knowing when a food was cooked. 
-Observed items dated as being cooled 3/30/16 when they were cooled on 3/29/2016 per cooling records.
-Observed gravy in a large container with indications that the food was placed into the freezer while hot. 
-Observed containers of cut fries that did not match when the cook stated the food was made. To prevent the growth of pathogens, cooked TCS food shall be rapidly cooled: within two hours from 135°F to 70°F, and within a total of six hours from 135°F to 41°F or less.
-Food items were voluntarily discarded as necessary.
 3717-1-03.4(G) / Ready-to-eat, time/temperature controlled for safety food - date marking.Critical    Refrigerated, ready-to-eat, TCS foods held refrigerated for more than 24 hours were not properly date marked.
-Observed food items that were cooked and cooled on site with dates on the containers that did not match the dates on the cooling log. To prevent foodborne illness, refrigerated, ready-to-eat, TCS food held at a temperature of 41°F or less for more than 24 hours shall be clearly marked at the time of preparation or the time the original container is opened to indicate the date or day, that is a maximum of seven days, by which the food shall be consumed, sold, or discarded. The day the food is prepared or opened is day one.
","
3717-1-02.2(G) / Jewelry - prohibition. Repeat   Observed food employees wearing jewelry on arms or hands during food preparation.
-Observed several full-time and student employees wearing watches and bracelets. To prevent contamination, except as provided by (G)(2) and (G)(3) of this rule, food employees may not wear jewelry on their arms or hands.
-Items were removed when prompted. 
-Discontinue wearing wrist watches, bracelets, or other jewelry on hands when in the food service.
 3717-1-04.4(A)(2) / Equipment components kept intact, tight, and adjusted    Equipment components are not intact, tight or properly adjusted.
-Walk-in cooler door closer does not operate correctly on #1184. Equipment components such as doors, seals, hinges, fasteners, and kick plates shall be kept intact, tight, and adjusted in accordance with manufacturer's specifications.
-Replace door closer to ensure correct operation.
 3717-1-05.1(C)(1) / Handwashing sink - required water temperature    Observed a handwashing sink without water at the required temperature.
-Observed restroom without hot water at the sinks. To ensure proper cleaning of hands, a handwashing sink shall be equipped to provide water at a temperature of at least 100° F (thirty-eight degrees Celsius) through a mixing valve or combination faucet.
-Repair or replace parts as necessary to provide hot water at hand washing sinks.
 3717-1-05.1(I) / Service sink - number.    Observed no service sink or curbed cleaning facility as required.
-Mop sink is in disrepair. Faucet hoses do not have a hose bib or appropriate backflow device. At least one service sink or one curbed cleaning facility equipped with a floor drain shall be provided and conveniently located as specified in this rule.
-Replace mop sink. Install correct faucet and backflow device as necessary. Repair floor and wall surrounding mop sink as needed.
 3717-1-06.4(L) / Removing dead or trapped birds, insects, rodents, and other pests.    Observed the presence of dead pests or insects.
-Observed glue traps with pest insect activity. Dead or trapped birds, insects, rodents, and other pests shall be removed from control devices and the premises at a frequency that prevents their accumulation, decomposition, or the attraction of pests.
-Contact your pest control operator for service.
","Wilder Hall"
"Critical Control Point Inspection","30-Mar-2016","3 observations","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=484F921848907B1585257F86005F9B66","","","Wilder Hall"
"Follow-up Inspection","30-Sep-2015","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=18521314C86DD8ED85257ED0005C8164","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Wilder Hall"
"Standard Inspection","15-Sep-2015","1 critical & 4 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=EA8195A3914FD79485257EC1005D63E4","
 3717-1-03.2(C) / Packaged and unpackaged food - preventing contamination by separation, packaging, and segregationCritical  Corrected During Inspection Observed food that was not properly protected from contamination by separation, packaging, and segregation.
-Observed boxes of raw eggs stored above ready-to-eat food in the walk-in cooler.
-Observed packaged dozen eggs above ready-to-eat food in the reach-in cooler. To prevent contamination, food shall be protected from cross contamination by separating raw animal foods during storage, preparation, holding, and display from cooked ready-to-eat food as described in this rule.
-Corrected; food was rearranged to comply. 
","
3717-1-02.2(G) / Jewelry - prohibition.  Corrected During Inspection Observed food employees wearing jewelry on arms or hands during food preparation.
-Observed four employees with wrist bands or watches. To prevent contamination, except as provided by (G)(2) and (G)(3) of this rule, food employees may not wear jewelry on their arms or hands.
-Corrected; items were removed. 
 3717-1-04.2(C) / Drainboards.    Not enough space was provided for holding all soiled or clean utensils in the warewashing area.Drainboards, utensil racks, or tables large enough to accommodate all soiled and cleaned items shall be provided for utensil holding before cleaning and after sanitizing.
 3717-1-05.1(S)(2) / Plumbing system - maintained in good repair.    The plumbing system was not properly maintained.
-Observed a leak at the faucet connecting the hose under the dish machine area. 
-Observed a broken vacuum breaker at the dish machine. A plumbing system shall be properly maintained.
-Repair or replace components as necessary. 
 3717-1-06.1(A) / Floors, walls, and ceilings.    Floors, walls, and/or ceilings were not smooth and easily cleanable.
-Observed flaking and peeling paint on the ceiling above the sandwich station area. Floors, floor coverings, walls, wall coverings, and ceilings shall be designed, constructed, and installed so they are smooth and easily cleanable.
-Removing flaking and peeling paint, then repaint to ensure a smooth and easily cleanable surface. 
","Wilder Hall"
"Critical Control Point Inspection","15-Sep-2015","8 observations","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=81C5C7BEA9597C2A85257EC1005E29C8","","","Wilder Hall"
"Follow-up Inspection","18-Mar-2015","0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=C192F26F51C82E9885257E0C00627B26","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Wilder Hall"
"Critical Control Point Inspection","16-Mar-2015","1 observations","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=84F0BE1B696ABA2D85257E0A004DF049","","","Wilder Hall"
"Standard Inspection","12-Mar-2015","1 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=4DCDAE7B511018EB85257E06006E62F1","
3717-1-04.5(A)(1) / Cleanliness of equipment food-contact surfaces and utensils.Critical    Equipment food-contact surfaces or utensils are dirty. Pans with food particles still on them were stored as clean on the dishwashing room ""clean"" shelf.  Sort through pans and cooking pots.  Replace pitted and charred items.To prevent contamination, equipment food-contact surfaces and utensils shall be clean to sight and touch.
","
 3717-1-04.8(E) / Equipment, utensils, linens, single-service articles, and single-use articles - storage.    Cleaned equipment and utensils, laundered linens, or single-service and single-use articles are not properly stored. Cut gloves found stored on top of the fire extinguisher.  Boxes of single service articles found stored on the floor of the boiler area.Cleaned equipment and utensils, laundered linens, single-service articles, and single-use articles shall be properly stored as described in this rule.
","Wilder Hall"
"Standard Inspection","24-Sep-2014","0 critical & 7 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=DD27AB60AF7125C985257D5D00682AFD","

","
3717-1-02.2(G) / Jewelry - prohibition.    Observed food employees wearing jewelry on arms or hands during food preparation.Bracelet, watch, wrist bands are prohibited on wrists.To prevent contamination, except as provided by (G)(2) and (G)(3) of this rule, food employees may not wear jewelry on their arms or hands.
 3717-1-03.5(C)(1) / Food labels - packaged food    A food packaged in the facility did not contain a label. All salads from Dascomb Dining Services did not have a label with ingredients of multi-ingredient food items included in the salads.  Foods shall be labeled as specified in this rule.
 3717-1-04.4(A)(1) / Equipment - good repair and proper adjustment.    Equipment and/or components are not maintained in good working order. Pots and pans that are warped or extensively pitted in the food contact area shall be discarded.Equipment shall be maintained in a state of repair and condition that meets the requirements specified under rules 3717-1-04 and 3717-1-04.1 of this code.
 3717-1-04.4(A)(1) / Equipment - good repair and proper adjustment.    Equipment and/or components are not maintained in good working order. Food chopper blad has nicks and chipped cutting surfaces. Replace the blade and inspect it frequently.Equipment shall be maintained in a state of repair and condition that meets the requirements specified under rules 3717-1-04 and 3717-1-04.1 of this code.
 3717-1-04.5(A)(2) / Cleanliness of food-contact surfaces of cooking equipment and pans.    Pots and pans that were still soiled with food residue were stored as clean.Double check equipment for cleanliness while storing them.
 3717-1-04.8(A) / Equipment and utensils - air-drying required.    Equipment and utensils are not being air dried. Towel drying of washed and sanitized food contact surfaces observed. This may cause cross-contamination between equipment that is not thoroughly cleaned of soil and one that is clean prior to being wiped with soiled towel.After cleaning and sanitizing, equipment and utensils shall be air-dried or used after adequate draining before contact with food and utensils, and may not be cloth dried.
 3717-1-04.8(A) / Equipment and utensils - air-drying required.    Equipment and utensils are not being air dried. Pots and pans are stored while still wet.  Inadequate air drying equipment provided, not enough room in the dishwashing room.After cleaning and sanitizing, equipment and utensils shall be air-dried or used after adequate draining before contact with food and utensils, and may not be cloth dried.
","Wilder Hall"
